"# Copyright (C) Seiko Epson Corporation 2005-2012.",,,,,,,,,,,,,
"2006.01.23		",,,,,,,,,,,,,
"# ID","Value of ID","Width","Height","LM","TM","RM","BM	","Width","Height","LM","TM","RM","BM	"
"A4",0,2976,4209,42,42,42,42,2480,3507,35,35,35,35
"Letter",1,3060,3960,42,42,42,42,2550,3300,35,35,35,35
"Legal",2,3060,5040,42,42,42,42,2550,4200,35,35,35,35
"A5",3,2098,2976,42,42,42,42,1748,2480,35,35,35,35
"A6",4,1488,2098,42,42,42,42,1240,1748,35,35,35,35
"B5",5,2580,3643,42,42,42,42,2149,3035,35,35,35,35
"EXE",6,2610,3780,42,42,42,42,2175,3150,35,35,35,35
"HLT",7,1980,3060,42,42,42,42,1650,2550,35,35,35,35
"PANORAM",8,2976,8419,42,42,42,42,2480,7016,35,35,35,35
"4X6",9,1610,2330,42,42,42,42,1342,1942,35,35,35,35
"4X6FULL",10,1440,2160,42,42,42,42,1200,1800,35,35,35,35
"INDEX5",11,1800,2880,42,42,42,42,1500,2400,35,35,35,35
"8x10",12,2880,3600,42,42,42,42,2400,3000,35,35,35,35
"PP200",14,3061,4790,42,42,42,42,2551,3992,35,35,35,35
"L",15,1260,1800,42,42,42,42,1050,1500,35,35,35,35
"Postcard",16,1417,2098,42,42,42,42,1181,1748,35,35,35,35
"DPC",17,2835,2098,42,42,42,42,2363,1748,35,35,35,35
"ENV10_L",18,3420,1485,42,42,42,283,2850,1238,35,35,35,235
"ENVC6_L",19,2296,1616,42,42,42,283,1913,1347,35,35,35,235
"ENVDL_L",20,3118,1559,42,42,42,283,2598,1299,35,35,35,235
"ENV5X8_L",21,3118,1871,42,42,42,283,2598,1559,35,35,35,235
"ENVC3",22,1701,3685,42,42,42,283,1418,3071,35,35,35,235
"ENVC4",23,1276,3161,42,42,42,283,1063,2634,35,35,35,235
"ENVY1",24,1701,2494,42,42,42,283,1418,2078,35,35,35,235
"ENVY2",25,1616,2296,42,42,42,283,1347,1913,35,35,35,235
"ENVY3",26,1389,2098,42,42,42,283,1158,1748,35,35,35,235
"ENVY4",27,1488,3331,42,42,42,283,1240,2776,35,35,35,235
"2L",28,1800,2522,42,42,42,42,1500,2100,35,35,35,35
"ENV10",29,1485,3420,42,42,42,283,1238,2850,35,35,35,235
"ENVC6",30,1616,2296,42,42,42,283,1347,1913,35,35,35,235
"ENVDL",31,1559,3118,42,42,42,283,1299,2598,35,35,35,235
"ENV5X8",32,1871,3118,42,42,42,283,1559,2598,35,35,35,235
"NC",33,1261,779,42,42,42,42,1051,649,35,35,35,35
"NC55",34,1261,709,42,42,42,42,1051,591,35,35,35,35
"CARD",35,765,1219,42,42,42,42,638,1016,35,35,35,35
"NC91",36,780,1290,42,42,42,42,650,1075,35,35,35,35
"4X7",43,1440,2560,42,42,42,42,1200,2133,35,35,35,35
"A3+",61,4663,6846,42,42,42,42,3886,5705,35,35,35,35
"A3",62,4209,5953,42,42,42,42,3507,4960,35,35,35,35
"B4",63,3643,5159,42,42,42,42,3036,4299,35,35,35,35
"USB",64,3960,6120,42,42,42,42,3300,5100,35,35,35,35
"11X14",65,3960,5040,42,42,42,42,3300,4200,35,35,35,35
"10X12",69,3600,4320,42,42,42,42,3000,3600,35,35,35,35
"12X12",70,4320,4320,42,42,42,42,3600,3600,35,35,35,35
"UNKNOWN",-2,2976,4209,42,42,42,42,2480,3507,35,35,35,35
